"TAGGS Recipient Search Export
Data Fiscal Year = 2020; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
VIDA Y SALUD HEALTH SYSTEMS INC,74603770,CRYSTAL CITY,TX,78839,ZAVALA,United States of America,Other Health Organization,County Government,"$3,993,338 "
"UNIVERSITY OF TEXAS, HEALTH CENTER AT HOUSTON",800771594,HOUSTON,TX,772250036,HARRIS,United States of America,Hospital,State Government,"$616,000 "
UNITED MEDICAL CENTERS,31926009,EAGLE PASS,TX,78852,MAVERICK,United States of America,Hospital,County Government,"$7,486,690 "
ASSOCIATION OF STATE AND TERRITORIAL DENTAL DIRECTORS,135750516,SPARKS,NV,89434,WASHOE,United States of America,Health Department,State Government,"$400,000 "
Colorado Perinatal Care Quality Collaborative,80610691,Denver,CO,80224,DENVER,United States of America,Hospital,State Government,"$299,823 "
California Dept of Public Health,799150615,SACRAMENTO,CA,95899,SACRAMENTO,United States of America,Other Health Organization,State Government,"$552,659,501 "
"AUSTIN, CITY OF",945607265,AUSTIN,TX,78767,TRAVIS,United States of America,Health Department,City Government,"$7,971,024 "
TX ST DEPARTMENT OF HEALTH,807391511,AUSTIN,TX,78756,TRAVIS,United States of America,Health Department,State Government,"$48,697,695 "
TX ST DEPARTMENT OF HEALTH RESOURCES,807391511,AUSTIN,TX,78756,TRAVIS,United States of America,Health Department,State Government,"$113,673,178 "
EL PASO CITY & COUNTY HEALTH DEPARTMENT,58873019,EL PASO,TX,79901,EL PASO,United States of America,Health Department,City Government,"$1,098,383 "
"UNIV OF TEXAS SYS CANCER CTR, M D ANDERSON HOSP/TUM INS",800772139,HOUSTON,TX,77030,HARRIS,United States of America,Other Health Organization,State Government,"$171,065,870 "
HOUSTON CITY HEALTH & HUMAN SERVICES DEPARTMENT,194586517,HOUSTON,TX,77054,HARRIS,United States of America,Health Department,City Government,"$91,919,898 "
CITY OF HOUSTON,194586517,HOUSTON,TX,770541823,HARRIS,United States of America,Health Department,City Government,"$9,107,696 "
City of Laredo Health Department,618150460,LAREDO,TX,78040,WEBB,United States of America,Health Department,City Government,"$267,586 "
"ORANGE, COUNTY OF",1209753,ORANGE,TX,776306302,ORANGE,United States of America,Health Department,State Government,"$67,657 "
BEXAR COUNTY,69446656,SAN ANTONIO,TX,782053087,BEXAR,United States of America,Other Health Organization,County Government,"$100,000 "
BEXAR COUNTY,70487020,SAN ANTONIO,TX,782053087,BEXAR,United States of America,Other Health Organization,County Government,"$425,000 "
SAN ANTONIO METROPOLITAN HEALTH DISTRICT,66428400,SAN ANTONIO,TX,78285,BEXAR,United States of America,Other Health Organization,City Government,"$34,275,695 "
BEXAR COUNTY HOSPITAL DISTRICT,69446656,SAN ANTONIO,TX,78284,BEXAR,United States of America,Hospital,County Government,"$10,765,707 "
HARRIS COUNTY HEALTH DEPARTMENT,72206378,HOUSTON,TX,77002,HARRIS,United States of America,Health Department,County Government,"$27,596,446 "
TARRANT COUNTY MENTAL HEALTH MENTAL RETARDATION,20333597,FORT WORTH,TX,76111,TARRANT,United States of America,Hospital,County Government,"$5,320,430 "
LOS BARRIOS COMMUNITY CLINIC,78390994,DALLAS,TX,75212,DALLAS,United States of America,Other Health Organization,City Government,"$7,813,296 "
Texoma Community Center,6871701,SHERMAN,TX,750902605,,United States of America,Other Health Organization,State Government,"$1,997,460 "
PECAN VALLEY MENTAL HEALTH-MENTAL RETARDATION REGION,37890373,STEPHENVILLE,TX,76401,ERATH,United States of America,Health Department,County Government,"$1,878,781 "
JOHN PETER SMITH HOSPITAL (TARRANT CONTY HOSP DISTRICT),68368901,FORT WORTH,TX,76104,TARRANT,United States of America,Hospital,County Government,"$500,000 "
DALLAS COUNTY HEALTH AND HUMAN SERVICES,73128597,DALLAS,TX,752072710,DALLAS,United States of America,Other Health Organization,City Government,"$1,357,181 "
DALLAS COUNTY HEALTH AND HUMAN SERVICES,90849647,DALLAS,TX,752072710,DALLAS,United States of America,Other Health Organization,City Government,"$390,773 "
TARRANT COUNTY HEALTH DEPARTMENT,68365220,FT WORTH,TX,761073405,TARRANT,United States of America,Health Department,County Government,"$6,881,721 "
TARRANT COUNTY,68365220,FORT WORTH,TX,76107,TARRANT,United States of America,Hospital,County Government,"$425,000 "
UNIVERSITY OF TEXAS HEALTH CENTER AT TYLER,800772337,TYLER,TX,757083154,SMITH,United States of America,Hospital,State Government,"$11,335,708 "
DALLAS COUNTY HOSPITAL DISTRICT,49046527,DALLAS,TX,75245,DALLAS,United States of America,Hospital,County Government,"($841,223)"
Louisiana Department of Health and Hospitals,14740455,NEW ORLEANS,LA,70112,ORLEANS,United States of America,Health Department,State Government,"$160,000 "
Palm Beach County Substance Abuse Coalition,961547242,WEST PALM BEACH,FL,33407,PALM BEACH,United States of America,Other Health Organization,County Government,"$340,869 "
PA ST Department of Drug and Alcohol Programs,176040285,HARRISBURG,PA,171044311,DAUPHIN,United States of America,Health Department,State Government,"$141,585,392 "
MT ST DEPARTMENT OF HEALTH & ENVIRONMENTAL SCIENCES,51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$8,831,959 "
"MT ST DEPT OF PHHS, HEALTH POLICIES AND SERVICES",51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$20,544,562 "
"MT ST Dept of PHHS, Addictive & Mental Disorders Div",51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$60,743,026 "
Montana Department of Public Health and Human Services,51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$1,246,591 "
Montana Department of Public Health and Human Services,809791296,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$338,717 "
RiverStone Health,8746062,BILLINGS,MT,59101,YELLOWSTONE,United States of America,Health Department,County Government,"$6,065,498 "
Skagit County Public Hospital District No. 304,966993433,SEDRO WOOLLEY,WA,98284,SKAGIT,United States of America,Hospital,County Government,"$50,000 "
Detroit Wayne County Health Authority,809204196,DETROIT,MI,482023025,WAYNE,United States of America,Other Health Organization,County Government,"$11,934,978 "
TRINITY COLLEGE OF NURSING & HEALTH SCIENCES,80156187,ROCK ISLAND,IL,61201,ROCK ISLAND,United States of America,Hospital,Federal Government,$0 
Jackson County Family Drug Court,80986527,SCOTTSBORO,AL,35768,JACKSON,United States of America,Other Health Organization,State Government,"$319,768 "
FLATHEAD COUNTY HEALTH DEPARTMENT,8905093,KALISPELL,MT,599015607,FLATHEAD,United States of America,Health Department,County Government,"$2,739,031 "
"LINCOLN COUNTY, STATE OF MONTANA",12583613,LIBBY,MT,59923,LINCOLN,United States of America,Health Department,County Government,"$425,000 "
Mineral County Health Department,182795088,SUPERIOR,MT,59872,MINERAL,United States of America,Health Department,County Government,"($4,557)"
MISSOULA CITY/COUNTY HLTH DEPT/Partnership HC,137780685,MISSOULA,MT,59802,MISSOULA,United States of America,Health Department,County Government,"$6,680,650 "
"Richland, County of",13422808,SIDNEY,MT,592704035,RICHLAND,United States of America,Health Department,County Government,"$38,160 "
YELLOWSTONE CITY & COUNTY HEALTH DEPARTMENT,8746062,BILLINGS,MT,59101,YELLOWSTONE,United States of America,Health Department,County Government,"$446,753 "
ID CENTRAL DIST HLTH DEPT,169194768,BOISE,ID,83704,ADA,United States of America,Health Department,County Government,"$1,000,000 "
GLENNS FERRY HEALTH CLINIC,109963728,GLENNS FERRY,ID,83623,ELMORE,United States of America,Other Health Organization,City Government,"$3,787,211 "
Panhandle Health District,137473562,COEUR D ALENE,ID,838142628,KOOTENAI,United States of America,Other Health Organization,State Government,"$1,000,000 "
IDAHO COMMISSION FOR THE BLIND & VISUALLY IMPAIRED,2224439,BOISE,ID,83702,ADA,United States of America,Other Health Organization,State Government,$0 
ID ST CENTRAL DISTRICT HEALTH DEPARTMENT,825201486,BOISE,ID,83706,ADA,United States of America,Health Department,State Government,"$27,509,708 "
ID ST DEPARTMENT OF HEALTH & WELFARE,825201486,BOISE,ID,837200001,ADA,United States of America,Health Department,State Government,"$117,848,354 "
ID ST DEPT OF HEALTH & WELFARE,825201486,BOISE,ID,837200036,ADA,United States of America,Health Department,State Government,"$2,377,992,140 "
WY ST DEPARTMENT OF HEALTH,809915796,CHEYENNE,WY,82002,LARAMIE,United States of America,Health Department,State Government,"$513,122,691 "
"WY ST DIV OF HLTH & MED SVCS, MNTH HLTH/MNTH RETARD SVC",809915796,CHEYENNE,WY,82001,LARAMIE,United States of America,Health Department,State Government,"$15,359,195 "
"MENTAL HEALTH CENTER OF BOULDER COUNTY, INC.",95748943,BOULDER,CO,803042226,BOULDER,United States of America,Hospital,County Government,"$2,399,995 "
BOULDER County Public Health,788587665,BOULDER,CO,80304,BOULDER,United States of America,Health Department,City Government,"$52,336 "
CO ST DEPT PUBLIC HLTH&ENVIRONMENT,878208826,DENVER,CO,802221530,DENVER,United States of America,Health Department,State Government,"$304,781,484 "
CO ST DIVISION OF MENTAL HEALTH,878208826,DENVER,CO,80236,DENVER,United States of America,Other Health Organization,State Government,"($2,438,976)"
COLORADO DEPARTMENT OF HEALTH,878208826,DENVER,CO,80220,DENVER,United States of America,Health Department,State Government,"$2,689,832 "
CO ST DEPT OF HEALTH CARE POLICY & FINANCING,82338109,DENVER,CO,80203,DENVER,United States of America,Health Department,State Government,"$6,679,711,830 "
"CO ST Dept of Human Services, Div. of Behavioral Health",878147602,DENVER,CO,80236,DENVER,United States of America,Health Department,State Government,"$3,084,081 "
"PUEBLO COMMUNITY HEALTH CENTER, INC",40581097,PUEBLO,CO,81004,PUEBLO,United States of America,Hospital,City Government,"$7,011,013 "
"MESA, COUNTY OF",849344098,GRAND JUNCTION,CO,81502,MESA,United States of America,Health Department,County Government,"$192,508 "
DENVER CITY AND COUNTY MAYORS OFFICE,145454687,DENVER,CO,80204,DENVER,United States of America,Hospital,State Government,"$8,211,353 "
DENVER CITY AND COUNTY MAYORS OFFICE,170147354,DENVER,CO,80204,DENVER,United States of America,Hospital,State Government,"$13,758,365 "
Jefferson County Public Health,114874360,LAKEWOOD,CO,80401,JEFFERSON,United States of America,Health Department,City Government,"$71,786 "
MESA COUNTY HEALTH DEPARTMENT,849344098,GRAND JUNCTION,CO,81501,MESA,United States of America,Health Department,County Government,$0 
TRI -COUNTY HEALTH DEPT,116260910,ENGLEWOOD,CO,80111,ARAPAHOE,United States of America,Health Department,County Government,"$168,881 "
MONTROSE MEMORIAL HOSPITAL,10633667,MONTROSE,CO,81402,MONTROSE,United States of America,Hospital,County Government,$0 
Pueblo Department of Public Health & Environment,182172437,PUEBLO,CO,81003,PUEBLO,United States of America,Health Department,City Government,"$360,678 "
PUEBLO OF ACOMA (INC),809848922,PUEBLO OF ACOMA,NM,870340309,VALENCIA,United States of America,Other Health Organization,County Government,"$1,438,828 "
"FIRST CHOICE COMMUNITY HEALTHCARE, INC",75766048,LOS LUNAS,NM,87031,VALENCIA,United States of America,Other Health Organization,City Government,"$10,144,771 "
"RIO ARRIBA, COUNTY OF",111765343,ESPANOLA,NM,875321122,RIO ARRIBA,United States of America,Other Health Organization,County Government,"$273,155 "
NM ST DEPARTMENT OF HEALTH & ENVIRONMENT,782914170,SANTA FE,NM,87505,SANTA FE,United States of America,Health Department,State Government,"$8,051,971 "
NM ST DEPARTMENT OF HEALTH & ENVIRONMENT,808389274,SANTA FE,NM,87505,SANTA FE,United States of America,Health Department,State Government,"$127,131,100 "
New Mexico Department of Health,782914170,SANTA FE,NM,875056110,SANTA FE,United States of America,Health Department,State Government,"$160,000 "
New Mexico Department of Health,808389274,SANTA FE,NM,875056110,SANTA FE,United States of America,Health Department,State Government,"$17,199,982 "
NM ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,837710722,SANTA FE,NM,87501,SANTA FE,United States of America,Health Department,State Government,"$146,924,621 "
"LA FRONTERA CENTER, INC, MENTAL HEALTH SERVICES",21649413,TUCSON,AZ,85713,PIMA,United States of America,Other Health Organization,County Government,"$391,666 "
"MARICOPA COUNTY DIV OF HEALTH, BUREAU OF DISEASE CONTRL",602062515,PHOENIX,AZ,85001,MARICOPA,United States of America,Health Department,County Government,$0 
Lake Havasu City - Consolidated Courts,37613692,LAKE HAVASU CITY,AZ,86403,MOHAVE,United States of America,Health Department,City Government,$0 
"Tempe, City Of",74466814,TEMPE,AZ,85282,MARICOPA,United States of America,Other Health Organization,City Government,"$500,000 "
"MARICOPA, COUNTY OF",602062515,PHOENIX,AZ,850123314,MARICOPA,United States of America,Health Department,County Government,"$1,144,120 "
"MARICOPA, COUNTY OF",602062515,PHOENIX,AZ,850123314,MARICOPA,United States of America,Health Department,County Government,"$3,688,960 "
PIMA COUNTY HEALTH DEPARTMENT,144733792,TUCSON,AZ,857142226,PIMA,United States of America,Health Department,County Government,"$1,087,921 "
PIMA COUNTY HEALTH DEPT/COMM.SCVS.,19556867,TUCSON,AZ,85701,PIMA,United States of America,Health Department,County Government,"$519,317 "
YAVAPAI COUNTY COMMUNITY HEALTH SERVICES,609110507,PRESCOTT,AZ,86301,YAVAPAI,United States of America,Health Department,County Government,"$3,241,194 "
AZ ST DEPARTMENT OF HEALTH SERVICES,804745420,PHOENIX,AZ,85007,MARICOPA,United States of America,Health Department,State Government,"$295,283,458 "
Health Services Department,804745420,PHOENIX,AZ,850073232,MARICOPA,United States of America,Other Health Organization,State Government,"$743,442 "
ARIZONA DEPARTMENT OF CHILD SAFETY,78291672,PHOENIX,AZ,85012,MARICOPA,United States of America,Other Health Organization,State Government,"$4,703,005 "
ARIZONA DEPARTMENT OF CHILD SAFETY,136730434,PHOENIX,AZ,85012,MARICOPA,United States of America,Other Health Organization,State Government,"$347,900,140 "
AZ ST DEPARTMENT OF HEALTH SERVICES,804745420,PHOENIX,AZ,85007,MARICOPA,United States of America,Health Department,State Government,"$3,072,498 "
AZ ST HEALTH CARE COST CONTAINMENT SYSTEM,805346798,PHOENIX,AZ,850342217,MARICOPA,United States of America,Other Health Organization,State Government,$0 
AZ ST HEALTH CARE COST CONTAINMENT SYSTEM,804745420,PHOENIX,AZ,850342217,MARICOPA,United States of America,Other Health Organization,State Government,"$42,193,725 "
AZ ST HEALTH CARE COST CONTAINMENT SYSTEM,805346798,PHOENIX,AZ,850342217,MARICOPA,United States of America,Other Health Organization,State Government,"$12,471,269,263 "
Weber Human Services,824784367,OGDEN,UT,84401,WEBER,United States of America,Health Department,County Government,"$163,525 "
Utah County Division of Substance Abuse,40752342,PROVO,UT,84601,UTAH,United States of America,Health Department,County Government,"$29,546 "
SALT LAKE CITY COUNTY HEALTH DEPARTMENT,73133894,SALT LAKE CITY,UT,841902150,SALT LAKE,United States of America,Health Department,City Government,"$43,558 "
UTAH STATE DEPARTMENT OF HEALTH,959347972,SALT LAKE CITY,UT,84114,SALT LAKE,United States of America,Health Department,State Government,"$2,781,664,772 "
Utah State Department of Health,959347972,SALT LAKE CITY,UT,84114,SALT LAKE,United States of America,Other Health Organization,State Government,"$2,453,872 "
SAN JUAN HOSPITAL,603819053,MONTICELLO,UT,84535,SAN JUAN,United States of America,Hospital,County Government,$0 
WILLIAM BEE RIRIE HOSPITAL,72985153,ELY,NV,89301,WHITE PINE,United States of America,Hospital,County Government,$0 
SOUTHERN NEVADA HEALTH DISTRICT,137055492,LAS VEGAS,NV,891273902,CLARK,United States of America,Health Department,County Government,"$10,657,997 "
"NV ST DEPT OF HHS, NO NV Adult Mental Hlth Srvcs",625364849,SPARKS,NV,894315564,WASHOE,United States of America,Other Health Organization,State Government,$0 
Nevada Division of Public and Behavorial Health,21588830,CARSON CITY,NV,89706,**CARSON CITY,United States of America,Health Department,State Government,"$635,141 "
Nevada Division of Public and Behavorial Health,625364849,CARSON CITY,NV,89706,**CARSON CITY,United States of America,Health Department,State Government,"$6,330,571 "
CLARK COUNTY NV OFFICE OF THE CORONER/MED  EXAMINER,88465716,LAS VEGAS,NV,89106,CLARK,United States of America,Other Health Organization,County Government,"$97,977 "
HUMBOLDT GENERAL HOSPITAL,614714681,WINNEMUCCA,NV,89445,HUMBOLDT,United States of America,Hospital,County Government,$0 
WASHOE COUNTY DISTRICT HEALTH DEPARTMENT,73786998,RENO,NV,895200027,WASHOE,United States of America,Health Department,County Government,"$941,200 "
UNIVERSITY MEDICAL CENTER OF SOUTHERN NV,66677535,LAS VEGAS,NV,89102,CLARK,United States of America,Hospital,County Government,"$150,000 "
University Medical Center of Southern Nevada,66677535,LAS VEGAS,NV,891022329,CLARK,United States of America,Hospital,County Government,"$926,385 "
VI DEPARTMENT OF HEALTH,167269765,ST THOMAS,VI,801,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$1,986,467 "
"PR DEPARTMENT OF HEALTH, ADMIN OF FACILITIES/HLTH SVCS",105817142,SAN JUAN,PR,936,SAN  JUAN,USA Related Territories,Health Department,State Government,"$2,834,858,818 "
"PR DEPARTMENT OF HEALTH, ADMIN OF FACILITIES/HLTH SVCS",136941841,SAN JUAN,PR,936,SAN  JUAN,USA Related Territories,Health Department,State Government,$0 
PR DEPARTMENT OF HEALTH,105817142,SANTURCE,PR,908,SAN  JUAN,USA Related Territories,Health Department,State Government,"$26,164,620 "
CHINA CTR FOR DISEASE CONTROL MCF CHINA INTERVENTION PR,526818716,BEIJING,Other,100050,,China,Other Health Organization,Federal Government,"$968,707 "
CHINA CTR FOR DISEASE CONTROL MCF CHINA INTERVENTION PR,545199309,BEIJING,Other,100050,,China,Other Health Organization,Federal Government,"$50,000 "
PRESIDENT'S OFFICE REGIONAL ADMINISTRATION AND LOCAL GO,561235195,Dodoma,Other,41185,,Tanzania,Health Department,State Government,"$197,556 "
Georgia Department of Public Health,968217559,ATLANTA,GA,30303,FULTON,United States of America,Health Department,State Government,"$522,385,457 "
WASHINGTON STATE HOSPITAL ASSOCIATION,71834600,SEATTLE,WA,981044041,KING,United States of America,Other Health Organization,State Government,"$3,697,184 "
"SEATTLE INDIAN HEALTH BOARD, INC",20237822,SEATTLE,WA,981443364,KING,United States of America,Other Health Organization,City Government,"$10,212,814 "
Bloodworks,92881085,SEATTLE,WA,981041256,KING,United States of America,Other Health Organization,County Government,"$1,856,924 "
Health Care Authority,7207571,OLYMPIA,WA,98504,THURSTON,United States of America,Other Health Organization,State Government,"$96,978,665 "
Health Care Authority,127347115,OLYMPIA,WA,98504,THURSTON,United States of America,Other Health Organization,State Government,"$1,348,405 "
Washington State Department of Health,808883128,OLYMPIA,WA,98504,THURSTON,United States of America,Other Health Organization,State Government,"$41,749,931 "
WA ST DEPARTMENT OF HEALTH,808883128,OLYMPIA,WA,98504,THURSTON,United States of America,Health Department,State Government,"$278,104,208 "
TACOMA-PIERCE COUNTY HEALTH DEPT,150714009,TACOMA,WA,98418,PIERCE,United States of America,Health Department,County Government,"$69,972 "
Snohomish Health District,86831146,Everett,WA,982013900,SNOHOMISH,United States of America,Hospital,County Government,"$1,200,000 "
WA ST DEPARTMENT OF HEALTH,808883128,OLYMPIA,WA,985047901,THURSTON,United States of America,Health Department,State Government,"$18,726,122 "
Grant County Health District,130065873,EPHRATA,WA,98823,GRANT,United States of America,Health Department,County Government,"($163,787)"
SEATTLE-KING COUNTY DEPARTMENT OF PUBLIC HEALTH,156914921,SEATTLE,WA,981044039,KING,United States of America,Health Department,County Government,"$1,879,950 "
"KING, COUNTY OF",156914921,SEATTLE,WA,981041818,KING,United States of America,Health Department,County Government,"$16,514,480 "
"King County, Dept. of Community and Human Services",135589252,SEATTLE,WA,98104,KING,United States of America,Health Department,County Government,"$504,737 "
Pacific County,84604016,SOUTH BEND,WA,98586,PACIFIC,United States of America,Health Department,County Government,"$130,341 "
SNOHOMISH HEALTH DISTRICT,86831146,EVERETT,WA,98201,SNOHOMISH,United States of America,Hospital,County Government,"($200,000)"
PLANNED PARENTHOOD OF Greater Washington an North Idaho,135959641,YAKIMA,WA,98902,YAKIMA,United States of America,Other Health Organization,County Government,$0 
CITY OF SEWARD,37996634,SEWARD,AK,996640167,KENAI PENINSULA,United States of America,Hospital,City Government,"$2,214,603 "
AK ST DHSS,78198983,JUNEAU,AK,99811,JUNEAU,United States of America,Health Department,State Government,"$50,910,425 "
AK ST DHSS,809386543,JUNEAU,AK,99811,JUNEAU,United States of America,Health Department,State Government,"$1,904,016,407 "
AK ST DHSS,809387467,JUNEAU,AK,99811,JUNEAU,United States of America,Health Department,State Government,"($499,060)"
AK ST DEPARTMENT OF PUBLIC HEALTH & WELFARE,809386543,JUNEAU,AK,99801,JUNEAU,United States of America,Health Department,State Government,"$2,560,968 "
"OR ST DEPARTMENT OF HUMAN RESOURCES, HEALTH DIVISION",878144021,PORTLAND,OR,97232,MULTNOMAH,United States of America,Health Department,State Government,"$154,555,087 "
OR ST HEALTH DIVISION,878144021,PORTLAND,OR,97201,MULTNOMAH,United States of America,Health Department,State Government,"$25,952,796 "
Umatilla County Public Health Department,55822969,PENDLETON,OR,97801,UMATILLA,United States of America,Health Department,County Government,"($23,215)"
Benton County - Sheriff`s Office,81966004,CORVALLIS,OR,973304703,BENTON,United States of America,Health Department,County Government,$0 
CLACKAMAS COUNTY COMMUNITY HEALTH DIVISION,96992656,OREGON CITY,OR,970454093,CLACKAMAS,United States of America,Health Department,County Government,"$3,902,451 "
Clackamas County Commission on Children and Families,96992656,OREGON CITY,OR,97045,CLACKAMAS,United States of America,Health Department,County Government,"$300,000 "
JOSEPHINE COUNTY MENTAL HEALTH,54961701,GRANTS PASS,OR,97526,JOSEPHINE,United States of America,Hospital,County Government,"$174,500 "
LANE COUNTY,30786248,EUGENE,OR,974012926,LANE,United States of America,Health Department,County Government,"$5,242,534 "
LINCOLN COUNTY HEALTH DEPARTMENT,30786891,NEWPORT,OR,973653821,LINCOLN,United States of America,Health Department,County Government,"$200,000 "
LINCOLN COUNTY HEALTH DEPARTMENT,961796794,NEWPORT,OR,973653821,LINCOLN,United States of America,Health Department,County Government,"$2,244,204 "
Multnomah County Health Department,30784888,PORTLAND,OR,97204,MULTNOMAH,United States of America,Health Department,County Government,"$2,625,400 "
TILLAMOOK COUNTY HEALTH DEPARTMENT,797165321,TILLAMOOK,OR,97141,TILLAMOOK,United States of America,Health Department,County Government,"$3,300,781 "
"Wasco, County Of",84415959,THE DALLES,OR,970582237,WASCO,United States of America,Health Department,County Government,"$299,829 "
"WEST OAKLAND HEALTH COUNCIL, INC",71700280,OAKLAND,CA,946072608,ALAMEDA,United States of America,Other Health Organization,City Government,"$5,039,843 "
"LA CLINICA DE LA RAZA, INC",70159157,OAKLAND,CA,946012322,ALAMEDA,United States of America,Other Health Organization,County Government,"$13,444,867 "
"REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES",127347115,KOROR,PW,96940,,USA Related Territories,Health Department,State Government,$0 
"REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES",854813003,KOROR,PW,96940,,USA Related Territories,Health Department,State Government,"$12,773,612 "
"REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES",854813313,KOROR,PW,96940,,USA Related Territories,Health Department,State Government,"$250,000 "
Alameda County Medical Center,800778909,SAN LEANDRO,CA,945781009,ALAMEDA,United States of America,Hospital,County Government,"$63,262 "
GA Dept of Behavioral Health and DE,965736635,ATLANTA,GA,30303,FULTON,United States of America,Health Department,State Government,"$122,020,534 "
BERKELEY CITY HEALTH DEPARTMENT,76529924,BERKELEY,CA,94704,ALAMEDA,United States of America,Health Department,City Government,$0 
SAN FRANCISCO GENERAL HOSPITAL MEDICAL CENTER,103717336,SAN FRANCISCO,CA,94102,SAN FRANCISCO,United States of America,Hospital,City Government,"$213,713 "
SAN FRANCISCO DEPARTMENT OF PUBLIC HEALTH,103717336,SAN FRANCISCO,CA,94103,SAN FRANCISCO,United States of America,Health Department,County Government,"$30,441,672 "
ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,101367600,SAN LEANDRO,CA,94577,ALAMEDA,United States of America,Other Health Organization,County Government,"$8,900,838 "
ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,101373004,SAN LEANDRO,CA,94577,ALAMEDA,United States of America,Other Health Organization,County Government,"$5,008,779 "
BUTTE COUNTY MENTAL HEALTH DEPARTMENT,858917024,CHICO,CA,959262218,BUTTE,United States of America,Health Department,County Government,"$1,000,000 "
CONTRA COSTA COUNTY HEALTH SERVICE DEPARTMENT,71687883,MARTINEZ,CA,94553,CONTRA COSTA,United States of America,Health Department,County Government,"$5,509,893 "
COUNTY OF FRESNO,556197655,FRESNO,CA,93775,FRESNO,United States of America,Health Department,County Government,"$1,580,000 "
HUMBOLDT COUNTY HEALTH DEPARTMENT,793165098,EUREKA,CA,95501,HUMBOLDT,United States of America,Health Department,County Government,"$111,699 "
"Monterey, County Of",76298439,SALINAS,CA,939063102,MONTEREY,United States of America,Other Health Organization,County Government,"$2,912,885 "
"Monterey, County Of",125628466,SALINAS,CA,939063102,MONTEREY,United States of America,Other Health Organization,County Government,"$405,000 "
"MONTEREY, COUNTY OF",968056358,SALINAS,CA,939063102,MONTEREY,United States of America,Hospital,County Government,"$388,522 "
PLACER COUNTY DEPARTMENT OF HEALTH,827804530,AUBURN,CA,95603,PLACER,United States of America,Health Department,County Government,"($18,477)"
Plumas County Public Health Agency,10997419,QUINCY,CA,95971,PLUMAS,United States of America,Health Department,County Government,"$286,065 "
SACRAMENTO COUNTY HEALTH DEPARTMENT,137133703,SACRAMENTO,CA,958232501,SACRAMENTO,United States of America,Health Department,County Government,"$4,980,607 "
SACRAMENTO COUNTY HEALTH DEPARTMENT,153418327,SACRAMENTO,CA,958232501,SACRAMENTO,United States of America,Health Department,County Government,"$2,489,588 "
"SAN JOAQUIN, COUNTY OF",884333345,STOCKTON,CA,95201,SAN JOAQUIN,United States of America,Other Health Organization,County Government,"$608,927 "
SAN MATEO CTY DEPT OF HEALTH SCVS,625139170,SAN MATEO,CA,94403,SAN MATEO,United States of America,Health Department,County Government,"$3,343,915 "
SANTA CLARA COUNTY HEALTH DEPARTMENT,137578683,SAN JOSE,CA,951282649,SANTA CLARA,United States of America,Health Department,County Government,"$4,389,248 "
SANTA CRUZ COUNTY HEALTH SERVICES AGENCY,69117208,SANTA CRUZ,CA,95060,SANTA CRUZ,United States of America,Other Health Organization,County Government,"$117,446 "
SANTA CRUZ COUNTY HEALTH SERVICES AGENCY,168691095,SANTA CRUZ,CA,95060,SANTA CRUZ,United States of America,Other Health Organization,County Government,"$4,624,830 "
COUNTY OF SOLANO,126617427,FAIRFIELD,CA,94533,SOLANO,United States of America,Health Department,County Government,"$3,506,479 "
County of Sonoma,168988681,SANTA ROSA,CA,954041707,SONOMA,United States of America,Health Department,County Government,$0 
STANISLAUS COUNTY DEPARTMENT OF PUBLIC HEALTH,108377909,MODESTO,CA,95350,STANISLAUS,United States of America,Health Department,County Government,"$547,937 "
Tehama County Health Services Agency,20290537,RED BLUFF,CA,96080,TEHAMA,United States of America,Health Department,County Government,"$765,000 "
"TULARE, COUNTY OF",192631146,VISALIA,CA,932779394,TULARE,United States of America,Other Health Organization,County Government,"$215,292 "
"TULARE, COUNTY OF",831871913,VISALIA,CA,932779394,TULARE,United States of America,Other Health Organization,County Government,"$491,254 "
LAKE COUNTY HEALTH DEPARTMENT,8569852,LAKEPORT,CA,95453,LAKE,United States of America,Health Department,County Government,"($137,808)"
CA ST DEPARTMENT OF HEALTH SERVICES,799150615,SACRAMENTO,CA,958146401,SACRAMENTO,United States of America,Health Department,State Government,"$60,578,154 "
CA ST DEPARTMENT OF HEALTH SERVICES,949087316,SACRAMENTO,CA,958146401,SACRAMENTO,United States of America,Health Department,State Government,"$94,868 "
"CA ST DEPT OF PUBLIC HEALTH, DEPT OF HEALTH SERVICES",799150615,SACRAMENTO,CA,95814,SACRAMENTO,United States of America,Health Department,State Government,($816)
