"TAGGS Recipient Search Export
Data Fiscal Year = 2021; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
TACOMA-PIERCE COUNTY HEALTH DEPT,150714009,TACOMA,WA,98418,PIERCE,United States of America,Health Department,County Government,"($48,675)"
Snohomish Health District,86831146,Everett,WA,982013900,SNOHOMISH,United States of America,Hospital,County Government,$0 
WA ST DEPARTMENT OF HEALTH,808883128,OLYMPIA,WA,985047901,THURSTON,United States of America,Health Department,State Government,"$14,931,369 "
SEATTLE-KING COUNTY DEPARTMENT OF PUBLIC HEALTH,156914921,SEATTLE,WA,981044039,KING,United States of America,Health Department,County Government,"$2,032,229 "
"KING, COUNTY OF",156914921,SEATTLE,WA,981041818,KING,United States of America,Health Department,County Government,"$15,924,962 "
Pacific County,84604016,SOUTH BEND,WA,98586,PACIFIC,United States of America,Health Department,County Government,"$44,967 "
SAN JUAN COUNTY HEALTH DEPARTMENT,17330804,FRIDAY HARBOR,WA,98250,SAN JUAN,United States of America,Health Department,County Government,"$50,000 "
CITY OF SEWARD,37996634,SEWARD,AK,996640167,KENAI PENINSULA,United States of America,Hospital,City Government,"$1,992,033 "
AK ST DHSS,78198983,JUNEAU,AK,99811,JUNEAU,United States of America,Health Department,State Government,"$49,024,767 "
AK ST DHSS,809386543,JUNEAU,AK,99811,JUNEAU,United States of America,Health Department,State Government,"$921,474,786 "
AK ST DEPARTMENT OF PUBLIC HEALTH & WELFARE,809386543,JUNEAU,AK,99801,JUNEAU,United States of America,Health Department,State Government,$0 
"OR ST DEPARTMENT OF HUMAN RESOURCES, HEALTH DIVISION",878144021,PORTLAND,OR,97232,MULTNOMAH,United States of America,Health Department,State Government,"$386,530,394 "
OR ST HEALTH DIVISION,878144021,PORTLAND,OR,97201,MULTNOMAH,United States of America,Health Department,State Government,"$86,296,684 "
CLACKAMAS COUNTY COMMUNITY HEALTH DIVISION,96992656,OREGON CITY,OR,970454093,CLACKAMAS,United States of America,Health Department,County Government,"$5,917,317 "
Clackamas County Commission on Children and Families,96992656,OREGON CITY,OR,97045,CLACKAMAS,United States of America,Health Department,County Government,$0 
LANE COUNTY,30786248,EUGENE,OR,974012926,LANE,United States of America,Health Department,County Government,"$5,372,000 "
LINCOLN COUNTY HEALTH DEPARTMENT,961796794,NEWPORT,OR,973653821,LINCOLN,United States of America,Health Department,County Government,"$2,710,669 "
Multnomah County Health Department,30784888,PORTLAND,OR,97204,MULTNOMAH,United States of America,Health Department,County Government,"$949,240 "
TILLAMOOK COUNTY HEALTH DEPARTMENT,797165321,TILLAMOOK,OR,97141,TILLAMOOK,United States of America,Health Department,County Government,"$3,604,114 "
"Wasco, County Of",84415959,THE DALLES,OR,970582237,WASCO,United States of America,Health Department,County Government,$0 
"WEST OAKLAND HEALTH COUNCIL, INC",71700280,OAKLAND,CA,946072608,ALAMEDA,United States of America,Other Health Organization,City Government,"$5,844,795 "
"LA CLINICA DE LA RAZA, INC",70159157,OAKLAND,CA,946012322,ALAMEDA,United States of America,Other Health Organization,County Government,"$25,147,156 "
"REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES",854813003,KOROR,PW,96940,,USA Related Territories,Health Department,State Government,"$13,116,702 "
"REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES",854813313,KOROR,PW,96940,,USA Related Territories,Health Department,State Government,$0 
Alameda County Medical Center,800778909,SAN LEANDRO,CA,945781009,ALAMEDA,United States of America,Hospital,County Government,$0 
GA Dept of Behavioral Health and DE,965736635,ATLANTA,GA,30303,FULTON,United States of America,Health Department,State Government,"$121,145,090 "
BERKELEY CITY HEALTH DEPARTMENT,76529924,BERKELEY,CA,94704,ALAMEDA,United States of America,Health Department,City Government,$0 
SAN FRANCISCO GENERAL HOSPITAL MEDICAL CENTER,103717336,SAN FRANCISCO,CA,94102,SAN FRANCISCO,United States of America,Hospital,City Government,$0 
SAN FRANCISCO DEPARTMENT OF PUBLIC HEALTH,103717336,SAN FRANCISCO,CA,94103,SAN FRANCISCO,United States of America,Health Department,County Government,"$26,346,072 "
ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,101367600,SAN LEANDRO,CA,94577,ALAMEDA,United States of America,Other Health Organization,County Government,"$9,415,069 "
ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,101373004,SAN LEANDRO,CA,94577,ALAMEDA,United States of America,Other Health Organization,County Government,"$7,181,368 "
CONTRA COSTA COUNTY HEALTH SERVICE DEPARTMENT,71687883,MARTINEZ,CA,94553,CONTRA COSTA,United States of America,Health Department,County Government,"$6,786,098 "
COUNTY OF FRESNO,556197655,FRESNO,CA,93775,FRESNO,United States of America,Health Department,County Government,"$955,033 "
"Monterey, County Of",76298439,SALINAS,CA,939063102,MONTEREY,United States of America,Other Health Organization,County Government,"$7,551,480 "
"Monterey, County Of",125628466,SALINAS,CA,939063102,MONTEREY,United States of America,Other Health Organization,County Government,$0 
"MONTEREY, COUNTY OF",76298439,SALINAS,CA,939063102,MONTEREY,United States of America,Hospital,County Government,"$316,897 "
Plumas County Public Health Agency,10997419,QUINCY,CA,95971,PLUMAS,United States of America,Health Department,County Government,"$262,153 "
SACRAMENTO COUNTY HEALTH DEPARTMENT,137133703,SACRAMENTO,CA,958232501,SACRAMENTO,United States of America,Health Department,County Government,"$4,379,842 "
SACRAMENTO COUNTY HEALTH DEPARTMENT,153418327,SACRAMENTO,CA,958232501,SACRAMENTO,United States of America,Health Department,County Government,"$3,920,477 "
SAN MATEO CTY DEPT OF HEALTH SCVS,625139170,SAN MATEO,CA,94403,SAN MATEO,United States of America,Health Department,County Government,"$4,323,507 "
SANTA CLARA COUNTY HEALTH DEPARTMENT,137578683,SAN JOSE,CA,951282649,SANTA CLARA,United States of America,Health Department,County Government,"$3,520,942 "
SANTA CRUZ COUNTY HEALTH SERVICES AGENCY,69117208,SANTA CRUZ,CA,95060,SANTA CRUZ,United States of America,Other Health Organization,County Government,$0 
SANTA CRUZ COUNTY HEALTH SERVICES AGENCY,168691095,SANTA CRUZ,CA,95060,SANTA CRUZ,United States of America,Other Health Organization,County Government,"$6,427,823 "
COUNTY OF SOLANO,126617427,FAIRFIELD,CA,94533,SOLANO,United States of America,Health Department,County Government,"$5,539,839 "
CA ST DEPARTMENT OF HEALTH SERVICES,799150615,SACRAMENTO,CA,958146401,SACRAMENTO,United States of America,Health Department,State Government,"$50,112,949 "
CA ST DEPARTMENT OF HEALTH SERVICES,949087316,SACRAMENTO,CA,958146401,SACRAMENTO,United States of America,Health Department,State Government,"$130,000 "
BEACH CITIES HEALTH DISTRICT,177699188,REDONDO BEACH,CA,902773039,LOS ANGELES,United States of America,Hospital,City Government,"$145,000 "
"NORTH COUNTY HEALTH PROJECT, INC.",78743820,SAN MARCOS,CA,920692973,SAN DIEGO,United States of America,Other Health Organization,County Government,"$22,301,615 "
OMNI FAMILY HEALTH,93997062,BAKERSFIELD,CA,933097081,KERN,United States of America,Hospital,City Government,"$30,130,871 "
LOS ANGELES COUNTY PUBLIC HEALTH DEPARTMENT,99446254,ALHAMBRA,CA,91803,LOS ANGELES,United States of America,Health Department,County Government,"$1,144,121 "
LOS ANGELES COUNTY PUBLIC HEALTH DEPARTMENT,624882309,ALHAMBRA,CA,91803,LOS ANGELES,United States of America,Health Department,County Government,"$957,963,104 "
LOS ANGELES COUNTY DEPT OF HEALTH SERVICES,624882309,LOS ANGELES,CA,90012,LOS ANGELES,United States of America,Hospital,County Government,$0 
"Riverside, County of",117023953,Riverside,CA,925033410,RIVERSIDE,United States of America,Health Department,County Government,$0 
SAN DIEGO COUNTY MENTAL HEALTH SERVICES,144733115,SAN DIEGO,CA,92103,SAN DIEGO,United States of America,Other Health Organization,County Government,$0 
SAN DIEGO COUNTY DEPARTMENT OF HEALTH SERVICES,144733115,SAN DIEGO,CA,92123,SAN DIEGO,United States of America,Health Department,County Government,"$15,230,188 "
SAN LUIS OBISPO COUNTY HEALTH AGENCY,140037164,SAN LUIS OBISPO,CA,934014513,SAN LUIS OBISPO,United States of America,Health Department,County Government,"($257,489)"
VENTURA COUNTY HEALTH SERVICES AGENCY,66691122,VENTURA,CA,93003,VENTURA,United States of America,Other Health Organization,County Government,"$17,865,985 "
SAN BERNARDINO COUNTY DEPARTMENT OF PUBLIC HEALTH,106376861,SAN BERNARDINO,CA,92415,SAN BERNARDINO,United States of America,Health Department,County Government,"$14,319,947 "
"CITY OF SANTA BARBARA, HEALTH CARE SERVICES",131851250,SANTA BARBARA,CA,93110,SANTA BARBARA,United States of America,Other Health Organization,City Government,$0 
SANTA BARBARA COUNTY PUBLIC HEALTH DEPT.,131851250,SANTA BARBARA,CA,93110,SANTA BARBARA,United States of America,Health Department,County Government,"$7,195,098 "
AS DEPARTMENT OF MEDICAL SERVICES,854993854,PAGO PAGO,AS,96799,,USA Related Territories,Other Health Organization,State Government,"$20,000 "
AS DEPARTMENT OF HEALTH,854993177,PAGO PAGO,AS,96799,,USA Related Territories,Health Department,State Government,"$11,934,463 "
"AS DEPARTMENT OF HEALTH, PUBLIC HEALTH DIVISION",854993177,PAGO PAGO,AS,96799,,USA Related Territories,Health Department,State Government,"$259,000 "
GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,778904292,AGANA,GU,96910,AGANA,USA Related Territories,Other Health Organization,State Government,"$42,311,380 "
GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,855028700,AGANA,GU,96910,AGANA,USA Related Territories,Other Health Organization,State Government,"$21,503,116 "
GU MENTAL HEALTH & SUBSTANCE ABUSE AGENCY,778904292,AGANA,GU,96921,AGANA,USA Related Territories,Other Health Organization,State Government,"$1,358,129 "
GU MENTAL HEALTH & SUBSTANCE ABUSE AGENCY,855031402,AGANA,GU,96921,AGANA,USA Related Territories,Other Health Organization,State Government,"$1,002,505 "
"GU DEPT OF PUBLIC HLTH & SOCIAL SVCS, PUBLIC HEALTH DIV",778904292,AGANA,GU,96910,AGANA,USA Related Territories,Health Department,State Government,"($759,381)"
"FEDERATED STATES OF MICRONESIA, OFFICE OF HEALTH SVCS",854812984,PALIKIR POHNPEI,FM,96941,PONAPE,USA Related Territories,Health Department,State Government,"$16,891,589 "
"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",854861283,MAJURO-MARSHALL,MH,96960,,USA Related Territories,Health Department,State Government,"$1,112,669 "
"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",854862633,MAJURO-MARSHALL,MH,96960,,USA Related Territories,Health Department,State Government,"$16,049,118 "
LBJ TROPICAL MED/MEDICAID,854996639,PAGO PAGO,AS,96799,,USA Related Territories,Health Department,State Government,"$91,900,373 "
"National Institute of Health, Mozambique",850487292,MAPUTO,Other,264,,Mozambique,Health Department,State Government,"$2,153,125 "
CM DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENTAL SERVICES,854586119,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"$5,786 "
CM DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENTAL SERVICES,854855277,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"$83,040,695 "
CM DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENTAL SERVICES,854858560,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"$310,685 "
HI ST DEPARTMENT OF HEALTH,90266185,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$13,049,590 "
HI ST DEPARTMENT OF HEALTH,136572513,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$4,727,849 "
HI ST DEPARTMENT OF HEALTH,610006140,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$235,000 "
HI ST DEPARTMENT OF HEALTH,783611122,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$297,297 "
HI ST DEPARTMENT OF HEALTH,809935679,KAPOLEI,HI,96707,HONOLULU,United States of America,Health Department,State Government,"$137,396,765 "
HI ST DEPARTMENT OF HEALTH,90266185,HONOLULU,HI,96801,HONOLULU,United States of America,Health Department,State Government,$0 
HI ST DEPARTMENT OF HEALTH,783611122,HONOLULU,HI,96801,HONOLULU,United States of America,Health Department,State Government,"($32,370)"
HI ST DEPARTMENT OF HEALTH,809935679,HONOLULU,HI,96801,HONOLULU,United States of America,Health Department,State Government,"$46,796,251 "
"Exported on 04/17/2021 from the HHS Tracking Accountability in Government Grants System (TAGGS), http://taggs.hhs.gov",,,,,,,,,
