,,,,,,,,,
Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards
MT ST DEPARTMENT OF HEALTH & ENVIRONMENTAL SCIENCES,51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$14,529,965 "
"MT ST DEPT OF PHHS, HEALTH POLICIES AND SERVICES",51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$11,632,807 "
"MT ST Dept of PHHS, Addictive & Mental Disorders Div",51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$5,241,378 "
Montana Department of Public Health and Human Services,51659352,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$673,778 "
Montana Department of Public Health and Human Services,809791296,HELENA,MT,59620,LEWIS AND CLARK,United States of America,Health Department,State Government,"$305,350 "
RiverStone Health,8746062,BILLINGS,MT,59101,YELLOWSTONE,United States of America,Health Department,County Government,"$4,497,819 "
"Liberty County Hospital and Nursing Home, Inc",60278546,CHESTER,MT,595220705,LIBERTY,United States of America,Hospital,County Government,"$247,827 "
Skagit County Public Hospital District No. 304,966993433,SEDRO WOOLLEY,WA,98284,SKAGIT,United States of America,Hospital,County Government,"$125,000 "
Detroit Wayne County Health Authority,809204196,DETROIT,MI,482023025,WAYNE,United States of America,Other Health Organization,County Government,"$5,736,333 "
FLATHEAD COUNTY HEALTH DEPARTMENT,8905093,KALISPELL,MT,599015607,FLATHEAD,United States of America,Health Department,County Government,"$1,428,542 "
"LINCOLN COUNTY, STATE OF MONTANA",12583613,LIBBY,MT,59923,LINCOLN,United States of America,Health Department,County Government,"$172,145 "
MISSOULA CITY/COUNTY HLTH DEPT/Partnership HC,78277588,MISSOULA,MT,59802,MISSOULA,United States of America,Health Department,County Government,"($161,456)"
MISSOULA CITY/COUNTY HLTH DEPT/Partnership HC,137780685,MISSOULA,MT,59802,MISSOULA,United States of America,Health Department,County Government,"$5,016,009 "
YELLOWSTONE CITY & COUNTY HEALTH DEPARTMENT,8746062,BILLINGS,MT,59101,YELLOWSTONE,United States of America,Health Department,County Government,"$403,236 "
GLENNS FERRY HEALTH CLINIC,109963728,GLENNS FERRY,ID,83623,ELMORE,United States of America,Other Health Organization,City Government,"$2,376,073 "
SOUTHWEST DISTRICT HEALTH DEPARTMENT,825016074,CALDWELL,ID,83605,CANYON,United States of America,Health Department,State Government,$0 
IDAHO COMMISSION FOR THE BLIND & VISUALLY IMPAIRED,2224439,BOISE,ID,83702,ADA,United States of America,Other Health Organization,State Government,"$203,054 "
ID ST CENTRAL DISTRICT HEALTH DEPARTMENT,825201486,BOISE,ID,83706,ADA,United States of America,Health Department,State Government,"$33,096,016 "
ID ST DEPARTMENT OF HEALTH & WELFARE,825201486,BOISE,ID,837200001,ADA,United States of America,Health Department,State Government,"$112,966,212 "
ID ST DEPT OF HEALTH & WELFARE,825201486,BOISE,ID,837200036,ADA,United States of America,Health Department,State Government,"$1,272,326,366 "
WY ST DEPARTMENT OF HEALTH,809915796,CHEYENNE,WY,82002,LARAMIE,United States of America,Health Department,State Government,"$371,325,329 "
"WY ST DIV OF HLTH & MED SVCS, MNTH HLTH/MNTH RETARD SVC",809915796,CHEYENNE,WY,82001,LARAMIE,United States of America,Health Department,State Government,"$7,431,780 "
JEFFERSON CENTER FOR MENTAL HEALTH,87372140,WHEAT RIDGE,CO,80033,JEFFERSON,United States of America,Health Department,City Government,$0 
"MENTAL HEALTH CENTER OF BOULDER COUNTY, INC.",95748943,BOULDER,CO,803042226,BOULDER,United States of America,Hospital,County Government,"$800,000 "
BOULDER County Public Health,788587665,BOULDER,CO,80304,BOULDER,United States of America,Health Department,City Government,"$265,000 "
CO ST DEPT PUBLIC HLTH&ENVIRONMENT,878208826,DENVER,CO,802221530,DENVER,United States of America,Health Department,State Government,"$82,136,739 "
CO ST DEPT OF HEALTH CARE POLICY & FINANCING,82338109,DENVER,CO,80203,DENVER,United States of America,Health Department,State Government,"$5,371,898,509 "
"CO ST Dept of Human Services, Div. of Behavioral Health",878147602,DENVER,CO,80236,DENVER,United States of America,Health Department,State Government,"$1,626,000 "
"PUEBLO COMMUNITY HEALTH CENTER, INC",40581097,PUEBLO,CO,81004,PUEBLO,United States of America,Hospital,City Government,"$4,998,112 "
CO ST COVER COLORADO,825230600,GLENDALE,CO,80246,DENVER,United States of America,Other Health Organization,State Government,"($1,200,742)"
DENVER CITY AND COUNTY MAYORS OFFICE,145454687,DENVER,CO,80204,DENVER,United States of America,Hospital,State Government,"$7,972,997 "
DENVER CITY AND COUNTY MAYORS OFFICE,170147354,DENVER,CO,80204,DENVER,United States of America,Hospital,State Government,"$9,098,563 "
MESA COUNTY HEALTH DEPARTMENT,849344098,GRAND JUNCTION,CO,81501,MESA,United States of America,Health Department,County Government,"$69,779 "
SAN JUAN BASIN HEALTH DEPARTMENT,60628211,DURANGO,CO,81302,LA PLATA,United States of America,Health Department,County Government,"($12,629)"
Pueblo Department of Public Health & Environment,182172437,PUEBLO,CO,81003,PUEBLO,United States of America,Health Department,City Government,"$70,000 "
PUEBLO OF ACOMA (INC),809848922,PUEBLO OF ACOMA,NM,870340309,VALENCIA,United States of America,Other Health Organization,County Government,"$325,000 "
"FIRST CHOICE COMMUNITY HEALTHCARE, INC",75766048,LOS LUNAS,NM,87031,VALENCIA,United States of America,Other Health Organization,City Government,"$7,633,185 "
NM ST DEPARTMENT OF HEALTH & ENVIRONMENT,782914170,SANTA FE,NM,87505,SANTA FE,United States of America,Health Department,State Government,"$8,157,966 "
NM ST DEPARTMENT OF HEALTH & ENVIRONMENT,808389274,SANTA FE,NM,87505,SANTA FE,United States of America,Health Department,State Government,"$39,315,016 "
New Mexico Department of Health,808389274,SANTA FE,NM,875056110,SANTA FE,United States of America,Health Department,State Government,"$4,932,988 "
NM ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,837710722,SANTA FE,NM,87501,SANTA FE,United States of America,Health Department,State Government,"$149,648,995 "
"MARICOPA COUNTY DIV OF HEALTH, BUREAU OF DISEASE CONTRL",602062515,PHOENIX,AZ,85001,MARICOPA,United States of America,Health Department,County Government,"$749,999 "
SOUTHEAST ARIZONA AREA HEALTH EDUCATION CENTER,182363275,NOGALES,AZ,85621,SANTA CRUZ,United States of America,Other Health Organization,State Government,"$74,541 "
SAN LUCY DISTRICT OF THE TOHONO O'ODHAM NATION,143481864,GILA BEND,AZ,85337,MARICOPA,United States of America,Hospital,County Government,"$317,654 "
Chinle Service Unit,964045491,CHINLE,AZ,865038000,APACHE,United States of America,Hospital,Federal Government,"($45,061)"
"MARICOPA, COUNTY OF",145454000,PHOENIX,AZ,850123314,MARICOPA,United States of America,Health Department,County Government,"$3,120,472 "
"MARICOPA, COUNTY OF",602062515,PHOENIX,AZ,850123314,MARICOPA,United States of America,Health Department,County Government,"$1,568,682 "
PIMA COUNTY HEALTH DEPARTMENT,144733792,TUCSON,AZ,857142226,PIMA,United States of America,Health Department,County Government,"$70,000 "
YAVAPAI COUNTY COMMUNITY HEALTH SERVICES,609110507,PRESCOTT,AZ,86301,YAVAPAI,United States of America,Health Department,County Government,"$2,480,563 "
AZ ST DEPARTMENT OF HEALTH SERVICES,804745420,PHOENIX,AZ,85007,MARICOPA,United States of America,Health Department,State Government,"$54,140,013 "
ARIZONA DEPARTMENT OF CHILD SAFETY,78291672,PHOENIX,AZ,85012,MARICOPA,United States of America,Other Health Organization,State Government,"$7,174,571 "
ARIZONA DEPARTMENT OF CHILD SAFETY,136730434,PHOENIX,AZ,85012,MARICOPA,United States of America,Other Health Organization,State Government,"$21,946,949 "
AZ ST DEPARTMENT OF HEALTH SERVICES,804745420,PHOENIX,AZ,85007,MARICOPA,United States of America,Health Department,State Government,"($748,318)"
AZ ST HEALTH CARE COST CONTAINMENT SYSTEM,804745420,PHOENIX,AZ,850342217,MARICOPA,United States of America,Other Health Organization,State Government,"$56,220,389 "
AZ ST HEALTH CARE COST CONTAINMENT SYSTEM,805346798,PHOENIX,AZ,850342217,MARICOPA,United States of America,Other Health Organization,State Government,"$8,907,990,943 "
Southwest Utah Public Health Department,144747607,ST GEORGE,UT,847702893,WASHINGTON,United States of America,Health Department,County Government,"$70,000 "
Weber Human Services,824784367,OGDEN,UT,84401,WEBER,United States of America,Health Department,County Government,"$125,000 "
"UTAH HEALTH INFORMATION NETWORK, INCORPORATED",932869126,SALT LAKE CITY,UT,841075409,SALT LAKE,United States of America,Other Health Organization,State Government,"$624,604 "
UT ST DIVISION OF HEALTH,959347972,SALT LAKE CITY,UT,84413,SALT LAKE,United States of America,Health Department,State Government,"$887,870 "
UTAH STATE DEPARTMENT OF HEALTH,959347972,SALT LAKE CITY,UT,84114,SALT LAKE,United States of America,Health Department,State Government,"$1,836,554,829 "
Utah State Department of Health,959347972,SALT LAKE CITY,UT,84114,SALT LAKE,United States of America,Other Health Organization,State Government,"$4,348,354 "
SAN JUAN HOSPITAL,603819053,MONTICELLO,UT,84535,SAN JUAN,United States of America,Hospital,County Government,"$225,375 "
SOUTHERN NEVADA HEALTH DISTRICT,137055492,LAS VEGAS,NV,891273902,CLARK,United States of America,Health Department,County Government,"$5,745,053 "
CLARK COUNTY HEALTH DISTRICT,137055492,LAS VEGAS,NV,89127,CLARK,United States of America,Health Department,City Government,"($1,068,291)"
"NV ST DEPT OF HHS, NO NV Adult Mental Hlth Srvcs",625364849,SPARKS,NV,894315564,WASHOE,United States of America,Other Health Organization,State Government,"$573,893 "
CLARK COUNTY NV OFFICE OF THE CORONER/MED  EXAMINER,88465716,LAS VEGAS,NV,89106,CLARK,United States of America,Other Health Organization,County Government,"$80,743 "
HUMBOLDT GENERAL HOSPITAL,614714681,WINNEMUCCA,NV,89445,HUMBOLDT,United States of America,Hospital,County Government,"$299,981 "
WASHOE COUNTY DISTRICT HEALTH DEPARTMENT,73786998,RENO,NV,895200027,WASHOE,United States of America,Health Department,County Government,"$1,097,300 "
University Medical Center of Southern Nevada,66677535,LAS VEGAS,NV,891022329,CLARK,United States of America,Hospital,County Government,"$875,172 "
VI DEPARTMENT OF HEALTH,167269765,ST THOMAS,VI,801,SAINT THOMAS,USA Related Territories,Health Department,State Government,"$2,286,103 "
"PR DEPARTMENT OF HEALTH, ADMIN OF FACILITIES/HLTH SVCS",105817142,SAN JUAN,PR,936,SAN  JUAN,USA Related Territories,Health Department,State Government,"$566,663,903 "
PR DEPARTMENT OF HEALTH,105817142,SANTURCE,PR,908,SAN  JUAN,USA Related Territories,Health Department,State Government,"$12,160,259 "
CHINA CTR FOR DISEASE CONTROL MCF CHINA INTERVENTION PR,526818716,BEIJING,Other,100050,,China,Other Health Organization,Federal Government,"$2,317,215 "
CHINA CTR FOR DISEASE CONTROL MCF CHINA INTERVENTION PR,545199309,BEIJING,Other,100050,,China,Other Health Organization,Federal Government,"$1,045,000 "
Georgia Department of Public Health,968217559,ATLANTA,GA,30303,FULTON,United States of America,Health Department,State Government,"$163,564,882 "
"SEATTLE INDIAN HEALTH BOARD, INC",20237822,SEATTLE,WA,981443364,KING,United States of America,Other Health Organization,City Government,"$4,996,313 "
WA ST COMMISSION FOR THE BLIND,808883664,SEATTLE,WA,98118,KING,United States of America,Other Health Organization,State Government,"$55,879 "
Bloodworks,92881085,SEATTLE,WA,981041256,KING,United States of America,Other Health Organization,County Government,"$4,038,283 "
Kitsap Mental Health Services,21312129,BREMERTON,WA,98312,KITSAP,United States of America,Other Health Organization,County Government,"($82,996)"
Health Care Authority,7207571,OLYMPIA,WA,98504,THURSTON,United States of America,Other Health Organization,State Government,"$13,463,310 "
Washington State Department of Health,808883128,OLYMPIA,WA,98504,THURSTON,United States of America,Other Health Organization,State Government,"$44,069,294 "
WA ST DEPARTMENT OF HEALTH,808883128,OLYMPIA,WA,98504,THURSTON,United States of America,Health Department,State Government,"$35,461,030 "
TACOMA-PIERCE COUNTY HEALTH DEPT,150714009,TACOMA,WA,98418,PIERCE,United States of America,Health Department,County Government,"$199,494 "
WA ST DEPARTMENT OF HEALTH,808883128,OLYMPIA,WA,985047901,THURSTON,United States of America,Health Department,State Government,"$15,324,085 "
Grant County Health District,130065873,EPHRATA,WA,98823,GRANT,United States of America,Health Department,County Government,"$125,000 "
SEATTLE-KING COUNTY DEPARTMENT OF PUBLIC HEALTH,156914921,SEATTLE,WA,981044039,KING,United States of America,Health Department,County Government,"$2,598,095 "
"KING, COUNTY OF",156914921,SEATTLE,WA,981041818,KING,United States of America,Health Department,County Government,"$13,851,359 "
Pacific County,942515065,SOUTH BEND,WA,98586,PACIFIC,United States of America,Health Department,County Government,"$125,000 "
PLANNED PARENTHOOD OF Greater Washington an North Idaho,135959641,YAKIMA,WA,98902,YAKIMA,United States of America,Other Health Organization,County Government,"$963,670 "
CITY OF SEWARD,37996634,SEWARD,AK,996640167,KENAI PENINSULA,United States of America,Hospital,City Government,"$1,106,317 "
AK ST DHSS,78198983,JUNEAU,AK,99811,JUNEAU,United States of America,Health Department,State Government,"$38,648,242 "
AK ST DHSS,809386543,JUNEAU,AK,99811,JUNEAU,United States of America,Health Department,State Government,"$1,214,006,057 "
AK ST DEPARTMENT OF PUBLIC HEALTH & WELFARE,809386543,JUNEAU,AK,99801,JUNEAU,United States of America,Health Department,State Government,"$4,955,485 "
"OR ST DEPARTMENT OF HUMAN RESOURCES, HEALTH DIVISION",878144021,PORTLAND,OR,97232,MULTNOMAH,United States of America,Health Department,State Government,"$47,742,950 "
OR ST HEALTH DIVISION,878144021,PORTLAND,OR,97201,MULTNOMAH,United States of America,Health Department,State Government,"$20,368,351 "
CLACKAMAS COUNTY COMMUNITY HEALTH DIVISION,96992656,OREGON CITY,OR,970454093,CLACKAMAS,United States of America,Health Department,County Government,"$2,139,448 "
LANE COUNTY,30786248,EUGENE,OR,974012926,LANE,United States of America,Health Department,County Government,"$2,785,919 "
LINCOLN COUNTY HEALTH DEPARTMENT,961796794,NEWPORT,OR,973653821,LINCOLN,United States of America,Health Department,County Government,"$1,262,297 "
LINN COUNTY DEPARTMENT OF HEALTH SERVICES,55977508,ALBANY,OR,97321,LINN,United States of America,Health Department,County Government,"$125,000 "
MULTNOMAH COUNTY HEALTH CARE DELIVERY SYSTEM,30784888,PORTLAND,OR,97204,MULTNOMAH,United States of America,Other Health Organization,County Government,$0 
Multnomah County Health Department,30784888,PORTLAND,OR,97204,MULTNOMAH,United States of America,Health Department,County Government,"$2,740,108 "
TILLAMOOK COUNTY HEALTH DEPARTMENT,797165321,TILLAMOOK,OR,97141,TILLAMOOK,United States of America,Health Department,County Government,"$2,152,187 "
YAMHILL COUNTY HEALTH & HUMAN SERVICES,832349336,MCMINNVILLE,OR,97128,YAMHILL,United States of America,Health Department,County Government,$0 
"WEST OAKLAND HEALTH COUNCIL, INC",71700280,OAKLAND,CA,946072608,ALAMEDA,United States of America,Other Health Organization,City Government,"$3,843,027 "
"LA CLINICA DE LA RAZA, INC",70159157,OAKLAND,CA,946012322,ALAMEDA,United States of America,Other Health Organization,County Government,"$9,586,289 "
"REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES",127347115,KOROR,PW,96940,,USA Related Territories,Health Department,State Government,"$50,000 "
"REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES",854813003,KOROR,PW,96940,,USA Related Territories,Health Department,State Government,"$6,495,408 "
"REPUBLIC OF PALAU, BUREAU OF HEALTH SEVICES",854813313,KOROR,PW,96940,,USA Related Territories,Health Department,State Government,"$250,000 "
Alameda County Medical Center,800778909,SAN LEANDRO,CA,945781009,ALAMEDA,United States of America,Hospital,County Government,"$59,220 "
GA Dept of Behavioral Health and DE,965736635,ATLANTA,GA,30303,FULTON,United States of America,Health Department,State Government,"$74,420,963 "
BERKELEY CITY HEALTH DEPARTMENT,76529924,BERKELEY,CA,94704,ALAMEDA,United States of America,Health Department,City Government,"$140,000 "
SAN FRANCISCO GENERAL HOSPITAL MEDICAL CENTER,103717336,SAN FRANCISCO,CA,94102,SAN FRANCISCO,United States of America,Hospital,City Government,"$213,713 "
SAN FRANCISCO DEPARTMENT OF PUBLIC HEALTH,103717336,SAN FRANCISCO,CA,94103,SAN FRANCISCO,United States of America,Health Department,County Government,"$33,667,310 "
ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,101367600,SAN LEANDRO,CA,94577,ALAMEDA,United States of America,Other Health Organization,County Government,"$8,121,104 "
ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,101373004,SAN LEANDRO,CA,94577,ALAMEDA,United States of America,Other Health Organization,County Government,"$3,822,510 "
ALAMEDA COUNTY HEALTH CARE SERVICES AGENCY,961606410,SAN LEANDRO,CA,94577,ALAMEDA,United States of America,Other Health Organization,County Government,"($62,893)"
Alameda  County Behavioral Health Care Services,148380954,OAKLAND,CA,94606,ALAMEDA,United States of America,Other Health Organization,County Government,$0 
CONTRA COSTA COUNTY HEALTH SERVICE DEPARTMENT,71687883,MARTINEZ,CA,94553,CONTRA COSTA,United States of America,Health Department,County Government,"$3,208,523 "
COUNTY OF FRESNO,556197655,FRESNO,CA,93775,FRESNO,United States of America,Health Department,County Government,"$636,459 "
HUMBOLDT COUNTY HEALTH DEPARTMENT,793165098,EUREKA,CA,95501,HUMBOLDT,United States of America,Health Department,County Government,$0 
MERCED COUNTY HEALTH DEPARTMENT,20243106,MERCED,CA,95340,MERCED,United States of America,Health Department,County Government,"$1,048,530 "
MONTEREY COUNTY HEALTH DEPARTMENT,125628466,SALINAS,CA,939063122,MONTEREY,United States of America,Health Department,County Government,$0 
"Monterey, County Of",125628466,SALINAS,CA,939063102,MONTEREY,United States of America,Other Health Organization,County Government,"$330,000 "
"MONTEREY, COUNTY OF",968056358,SALINAS,CA,939063102,MONTEREY,United States of America,Hospital,County Government,"$292,181 "
PLACER COUNTY DEPARTMENT OF HEALTH,827804530,AUBURN,CA,95603,PLACER,United States of America,Health Department,County Government,"$400,000 "
PLACER COUNTY DEPARTMENT OF HEALTH,884259458,AUBURN,CA,95603,PLACER,United States of America,Health Department,County Government,"$125,000 "
Plumas County Public Health Agency,10997419,QUINCY,CA,95971,PLUMAS,United States of America,Health Department,County Government,"$266,088 "
SACRAMENTO COUNTY HEALTH DEPARTMENT,137133703,SACRAMENTO,CA,958232501,SACRAMENTO,United States of America,Health Department,County Government,"$3,360,053 "
SACRAMENTO COUNTY HEALTH DEPARTMENT,153418327,SACRAMENTO,CA,958232501,SACRAMENTO,United States of America,Health Department,County Government,"$1,310,021 "
SAN MATEO CTY DEPT OF HEALTH SCVS,625139170,SAN MATEO,CA,94403,SAN MATEO,United States of America,Health Department,County Government,"$2,041,508 "
SAN MATEO COUNTY DEPT OF HEALTH SERVICES,22818616,SAN MATEO,CA,94403,SAN MATEO,United States of America,Health Department,County Government,$0 
SANTA CLARA COUNTY HEALTH DEPARTMENT,137578683,SAN JOSE,CA,951282649,SANTA CLARA,United States of America,Health Department,County Government,"$3,211,443 "
SANTA CLARA COUNTY HEALTH DEPARTMENT,168740215,SAN JOSE,CA,951282649,SANTA CLARA,United States of America,Health Department,County Government,"$1,870,138 "
SANTA CRUZ COUNTY HEALTH SERVICES AGENCY,69117208,SANTA CRUZ,CA,95060,SANTA CRUZ,United States of America,Other Health Organization,County Government,"$125,000 "
SANTA CRUZ COUNTY HEALTH SERVICES AGENCY,168691095,SANTA CRUZ,CA,95060,SANTA CRUZ,United States of America,Other Health Organization,County Government,"$3,840,710 "
COUNTY OF SOLANO,126617427,FAIRFIELD,CA,94533,SOLANO,United States of America,Health Department,County Government,"$2,510,054 "
County of Sonoma,168988681,SANTA ROSA,CA,954041707,SONOMA,United States of America,Health Department,County Government,$0 
Tehama County Health Services Agency,20290537,RED BLUFF,CA,96080,TEHAMA,United States of America,Health Department,County Government,"$324,999 "
County of Yolo - Health and Human Services Department,73770646,WOODLAND,CA,956956646,YOLO,United States of America,Health Department,County Government,"$799,776 "
LAKE COUNTY HEALTH DEPARTMENT,8569852,LAKEPORT,CA,95453,LAKE,United States of America,Health Department,County Government,"$69,460 "
CA ST DEPARTMENT OF HEALTH SERVICES,99889789,SACRAMENTO,CA,958146401,SACRAMENTO,United States of America,Health Department,State Government,"$38,669,198 "
CA ST DEPARTMENT OF HEALTH SERVICES,799150615,SACRAMENTO,CA,958146401,SACRAMENTO,United States of America,Health Department,State Government,"$18,526,060 "
CA ST DEPARTMENT OF HEALTH SERVICES,949087316,SACRAMENTO,CA,958146401,SACRAMENTO,United States of America,Health Department,State Government,"$129,903 "
"CA ST DEPT OF PUBLIC HEALTH, DEPT OF HEALTH SERVICES",799150615,SACRAMENTO,CA,95814,SACRAMENTO,United States of America,Health Department,State Government,"$1,668,059 "
"UNIVERSITY OF CALIFORNIA-SAN FRANCISCO, BD OF REGENTS",94878337,SAN FRANCISCO,CA,94143,SAN FRANCISCO,United States of America,Other Health Organization,State Government,"$35,000 "
UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,47120084,SACRAMENTO,CA,95817,SACRAMENTO,United States of America,Hospital,State Government,"$300,000 "
DIDI HIRSCH PSYCHIATRIC SERVICE,83769752,CULVER CITY,CA,90230,LOS ANGELES,United States of America,Other Health Organization,City Government,$0 
"NORTH COUNTY HEALTH PROJECT, INC.",78743820,SAN MARCOS,CA,920692973,SAN DIEGO,United States of America,Other Health Organization,County Government,"$9,593,465 "
OMNI FAMILY HEALTH,93997062,BAKERSFIELD,CA,933097081,KERN,United States of America,Hospital,City Government,"$10,376,450 "
KERN COUNTY DEPARTMENT OF MENTAL HEALTH SERVICES,36419526,BAKERSVIELD,CA,93302,KERN,United States of America,Other Health Organization,County Government,"$125,000 "
Kern County Public Health Services Dept,828540695,BAKERSFIELD,CA,93306,KERN,United States of America,Health Department,County Government,"$69,969 "
LOS ANGELES COUNTY PUBLIC HEALTH DEPARTMENT,99446254,ALHAMBRA,CA,91803,LOS ANGELES,United States of America,Health Department,County Government,"$500,000 "
LOS ANGELES COUNTY PUBLIC HEALTH DEPARTMENT,624882309,ALHAMBRA,CA,91803,LOS ANGELES,United States of America,Health Department,County Government,"$105,241,433 "
LOS ANGELES CITY DEPARTMENT OF HEALTH SERVICES,99446254,LOS ANGELES,CA,90033,LOS ANGELES,United States of America,Health Department,City Government,"$534,068 "
LOS ANGELES COUNTY DEPARTMENT OF MENTAL HEALTH,104277942,LOS ANGELES,CA,90057,LOS ANGELES,United States of America,Health Department,County Government,"$1,000,000 "
LOS ANGELES COUNTY DEPARTMENT OF HEALTH SERVICES,624882309,LOS ANGELES,CA,90007,LOS ANGELES,United States of America,Health Department,County Government,"$443,958 "
RIVERSIDE CTY DEPT MNTL HEALTH/ADULT & OLDER ADULT SVCS,556215168,RIVERSIDE,CA,92513,RIVERSIDE,United States of America,Other Health Organization,County Government,"$984,740 "
SAN DIEGO COUNTY DEPARTMENT OF HEALTH SERVICES,144733115,SAN DIEGO,CA,92123,SAN DIEGO,United States of America,Health Department,County Government,"$15,478,218 "
SAN LUIS OBISPO COUNTY HEALTH AGENCY,140037164,SAN LUIS OBISPO,CA,934014513,SAN LUIS OBISPO,United States of America,Health Department,County Government,"$873,142 "
VENTURA COUNTY HEALTH SERVICES AGENCY,66691122,VENTURA,CA,93003,VENTURA,United States of America,Other Health Organization,County Government,"$3,263,154 "
Ventura County Behavioral Health,66691122,OXNARD,CA,930360673,VENTURA,United States of America,Other Health Organization,County Government,"$1,000,000 "
SAN BERNARDINO COUNTY DEPARTMENT OF PUBLIC HEALTH,106376861,SAN BERNARDINO,CA,92415,SAN BERNARDINO,United States of America,Health Department,County Government,"$8,159,099 "
"CITY OF SANTA BARBARA, HEALTH CARE SERVICES",131851250,SANTA BARBARA,CA,93110,SANTA BARBARA,United States of America,Other Health Organization,City Government,"$337,748 "
SANTA BARBARA COUNTY PUBLIC HEALTH DEPT.,131851250,SANTA BARBARA,CA,93110,SANTA BARBARA,United States of America,Health Department,County Government,"$1,759,902 "
SANTA BARBARA COUNTY MENTAL HEALTH,149656154,SANTA BARBARA,CA,93110,SANTA BARBARA,United States of America,Hospital,County Government,$0 
AS DEPARTMENT OF MEDICAL SERVICES,854993854,PAGO PAGO,AS,96799,,USA Related Territories,Other Health Organization,State Government,"$20,000 "
AS DEPARTMENT OF HEALTH,854993177,PAGO PAGO,AS,96799,,USA Related Territories,Health Department,State Government,"$7,627,533 "
"AS DEPARTMENT OF HEALTH, PUBLIC HEALTH DIVISION",854993177,PAGO PAGO,AS,96799,,USA Related Territories,Health Department,State Government,"$326,228 "
"GU DEPARTMENT OF PUBLIC HEALTH, DIVISION OF MENTAL HLTH",855028700,AGANA,GU,96910,AGANA,USA Related Territories,Health Department,State Government,"$326,680 "
GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,778904292,AGANA,GU,96910,AGANA,USA Related Territories,Other Health Organization,State Government,"$20,721,555 "
GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,855028700,AGANA,GU,96910,AGANA,USA Related Territories,Other Health Organization,State Government,"$2,605,547 "
GU MENTAL HEALTH & SUBSTANCE ABUSE AGENCY,778904292,AGANA,GU,96921,AGANA,USA Related Territories,Other Health Organization,State Government,"$1,292,356 "
GU DEPARTMENT OF MENTAL HEALTH & SUBSTANCE ABUSE,778904292,TAMUNING,GU,96911,AGANA,USA Related Territories,Health Department,State Government,"$50,000 "
GU DEPARTMENT OF MENTAL HEALTH & SUBSTANCE ABUSE,855031402,TAMUNING,GU,96911,AGANA,USA Related Territories,Health Department,State Government,"$1,000,000 "
"GU DEPT OF PUBLIC HLTH & SOCIAL SVCS, PUBLIC HEALTH DIV",778904292,AGANA,GU,96910,AGANA,USA Related Territories,Health Department,State Government,"$800,000 "
GU Dept of Behavioral Health and Wellness Center,855031402,TAMUNING,GU,96913,AGANA,USA Related Territories,Health Department,State Government,"$1,426,801 "
"FEDERATED STATES OF MICRONESIA, OFFICE OF HEALTH SVCS",854812984,PALIKIR POHNPEI,FM,96941,PONAPE,USA Related Territories,Health Department,State Government,"$7,113,369 "
"FEDERATED STATES OF MICRONESIA, OFFICE OF HEALTH SVCS",854814241,PALIKIR POHNPEI,FM,96941,PONAPE,USA Related Territories,Health Department,State Government,"$725,000 "
"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",854861283,MAJURO-MARSHALL,MH,96960,,USA Related Territories,Health Department,State Government,"$436,931 "
"REPUBLIC OF THE MARSHALL ISLANDS, HEALTH SERVICES",854862633,MAJURO-MARSHALL,MH,96960,,USA Related Territories,Health Department,State Government,"$4,613,747 "
LBJ TROPICAL MED/MEDICAID,854993177,PAGO PAGO,AS,96799,,USA Related Territories,Health Department,State Government,"($116,738)"
LBJ TROPICAL MED/MEDICAID,854993300,PAGO PAGO,AS,96799,,USA Related Territories,Health Department,State Government,"$16,706,366 "
CM DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENTAL SERVICES,854586119,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,($806)
CM DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENTAL SERVICES,854855228,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"$462,337 "
CM DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENTAL SERVICES,854855277,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"$8,515,253 "
CM DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENTAL SERVICES,854858560,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"$229,057 "
"CM DIV OF VOC REHAB, DEPT OF PUBLIC HLTH & ENVIR SVCS",854855277,SAIPAN,MP,96950,SAIPAN,USA Related Territories,Health Department,State Government,"$574,904 "
